Unnamed: 0,Corop,Geluksscore
0,Oost-Groningen (CR),84.3
1,Delfzijl en omgeving (CR),84.3
2,Overig Groningen (CR),86.7
3,Noord-Friesland (CR),90.6
4,Zuidwest-Friesland (CR),88.0
5,Zuidoost-Friesland (CR),89.8
6,Noord-Drenthe (CR),89.6
7,Zuidoost-Drenthe (CR),88.7
8,Zuidwest-Drenthe (CR),90.9
9,Noord-Overijssel (CR),88.9
10,Zuidwest-Overijssel (CR),89.6
11,Twente (CR),88.1
12,Veluwe (CR),89.3
13,Achterhoek (CR),89.4
14,Arnhem/Nijmegen (CR),88.2
15,Zuidwest-Gelderland (CR),88.0
16,Utrecht (CR),88.9
17,Kop van Noord-Holland (CR),89.5
18,Alkmaar en omgeving (CR),90.3
19,IJmond (CR),89.7
20,Agglomeratie Haarlem (CR),88.0
21,Zaanstreek (CR),85.4
22,Groot-Amsterdam (CR),86.0
23,Het Gooi en Vechtstreek (CR),90.8
24,Agglomeratie Leiden en Bollenstreek (CR),89.0
25,Agglomeratie s-Gravenhage (CR),84.5
26,Delft en Westland (CR),88.9
27,Oost-Zuid-Holland (CR),88.8
28,Groot-Rijnmond (CR),86.3
29,Zuidoost-Zuid-Holland (CR),88.9
30,Zeeuwsch-Vlaanderen (CR),89.7
31,Overig Zeeland (CR),89.6
32,West-Noord-Brabant (CR),88.4
33,Midden-Noord-Brabant (CR),86.3
34,Noordoost-Noord-Brabant (CR),88.2
35,Zuidoost-Noord-Brabant (CR),88.5
36,Noord-Limburg (CR),89.5
37,Midden-Limburg (CR),87.9
38,Zuid-Limburg (CR),86.0
39,Flevoland (CR),86.7
